name,description,price,category,reviews
"Produkt 1","Hochwertiges Produkt 1",19.99,"Elektronik","[{""reviewer"":""Alice"",""rating"":5,""comment"":""Exzellent!""}]"
"Produkt 2","Top Produkt 2",29.99,"Haushalt","[{""reviewer"":""Bob"",""rating"":4,""comment"":""Gut, aber verbesserungswürdig""}]"
"Produkt 3","Innovatives Gadget",49.99,"Elektronik","[{""reviewer"":""Charlie"",""rating"":5,""comment"":""Klasse Innovation!""}]"
"Produkt 4","Praktischer Küchenhelfer",15.99,"Haushalt","[{""reviewer"":""Diana"",""rating"":4,""comment"":""Nützlich und günstig""}]"
"Produkt 5","Elegante Uhr",99.99,"Mode","[{""reviewer"":""Eva"",""rating"":5,""comment"":""Stilvoll und hochwertig""}]"
"Produkt 6","Robuster Rucksack",39.99,"Mode","[{""reviewer"":""Frank"",""rating"":4,""comment"":""Langlebig, aber schwer""}]"
"Produkt 7","Smartphone Z",299.99,"Elektronik","[{""reviewer"":""Grace"",""rating"":3,""comment"":""Preis-Leistungs-Verhältnis ok""}]"
"Produkt 8","Kabellose Kopfhörer",59.99,"Elektronik","[{""reviewer"":""Hannah"",""rating"":5,""comment"":""Ausgezeichnete Klangqualität""}]"
"Produkt 9","Gaming-Maus",24.99,"Elektronik","[{""reviewer"":""Ian"",""rating"":4,""comment"":""Präzise und reaktionsschnell""}]"
"Produkt 10","Ergonomische Tastatur",49.99,"Elektronik","[{""reviewer"":""Julia"",""rating"":4,""comment"":""Sehr angenehm zu tippen""}]"
"Produkt 11","Bürostuhl Komfort",199.99,"Möbel","[{""reviewer"":""Kevin"",""rating"":5,""comment"":""Erstklassiger Komfort""}]"
"Produkt 12","Schreibtisch Modern",149.99,"Möbel","[{""reviewer"":""Laura"",""rating"":4,""comment"":""Modern und funktional""}]"
"Produkt 13","Outdoor-Jacke",79.99,"Mode","[{""reviewer"":""Martin"",""rating"":5,""comment"":""Perfekt für den Winter""}]"
"Produkt 14","Laufschuhe Sport",59.99,"Sport","[{""reviewer"":""Nina"",""rating"":4,""comment"":""Sehr bequem""}]"
"Produkt 15","Fitness-Armband",29.99,"Sport","[{""reviewer"":""Oliver"",""rating"":3,""comment"":""Funktioniert, aber nicht perfekt""}]"
"Produkt 16","Kaffeemaschine Deluxe",129.99,"Haushalt","[{""reviewer"":""Petra"",""rating"":5,""comment"":""Exzellenter Kaffee""}]"
"Produkt 17","Bluetooth Lautsprecher",79.99,"Elektronik","[{""reviewer"":""Quinn"",""rating"":4,""comment"":""Guter Sound, tragbar""}]"
"Produkt 18","Tablet X",199.99,"Elektronik","[{""reviewer"":""Ralph"",""rating"":3,""comment"":""Preislich in Ordnung""}]"
"Produkt 19","LED Fernseher 40 Zoll",249.99,"Elektronik","[{""reviewer"":""Sara"",""rating"":4,""comment"":""Schönes Bild, gute Features""}]"
"Produkt 20","Drahtloser Router",89.99,"Elektronik","[{""reviewer"":""Tom"",""rating"":5,""comment"":""Schnelle Verbindung, stabile Leistung""}]"
